team,link,season
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2022
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2022
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2022
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2022
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2022
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2022
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2022
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2022
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2022
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2022
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2022
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2022
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2022
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2022
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2022
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2022
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2022
Stuttgarter Kickers,/stuttgarter-kickers/spielplan/verein/71/saison_id/,2022
VfB Lübeck,/vfb-lubeck/spielplan/verein/78/saison_id/,2022
SV Waldhof Mannheim,/sv-waldhof-mannheim/spielplan/verein/85/saison_id/,2022
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2022
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2022
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2022
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2022
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2022
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2022
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2022
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2022
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2022
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2022
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2022
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2022
1.FC Kaan-Marienborn,/1-fc-kaan-marienborn/spielplan/verein/10226/saison_id/,2022
TSG Neustrelitz,/tsg-neustrelitz/spielplan/verein/1151/saison_id/,2022
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2022
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2022
FC Viktoria 1889 Berlin,/fc-viktoria-1889-berlin/spielplan/verein/40373/saison_id/,2022
SV Straelen,/sv-straelen/spielplan/verein/1068/saison_id/,2022
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2022
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2022
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2022
Einheit Wernigerode,/einheit-wernigerode/spielplan/verein/7021/saison_id/,2022
FV Illertissen,/fv-illertissen/spielplan/verein/1468/saison_id/,2022
SpVgg Bayreuth,/spvgg-bayreuth/spielplan/verein/752/saison_id/,2022
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2022
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2022
Kickers Offenbach,/kickers-offenbach/spielplan/verein/107/saison_id/,2022
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2022
BSV Schwarz-Weiß Rehden,/bsv-schwarz-weiss-rehden/spielplan/verein/5560/saison_id/,2022
SV Rödinghausen,/sv-rodinghausen/spielplan/verein/26957/saison_id/,2022
TSV Schott Mainz,/tsv-schott-mainz/spielplan/verein/9695/saison_id/,2022
FV Engers 07,/fv-engers-07/spielplan/verein/2085/saison_id/,2022
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2022
SV Oberachern,/sv-oberachern/spielplan/verein/8354/saison_id/,2022
Blau-Weiß Lohne,/blau-weiss-lohne/spielplan/verein/4883/saison_id/,2022
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2022
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2022
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2022
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2022
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2022
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,2022
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2022
FC Teutonia 05 Ottensen,/fc-teutonia-05-ottensen/spielplan/verein/14361/saison_id/,2022
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2022
