name,position,age,value,team,season
Jan Hüring,GK,38,-,TuS Bersenbrück,2014
Chris Muscharski,CB,26,-,TuS Bersenbrück,2014
Frank Placke,CB,23,-,TuS Bersenbrück,2014
Hendrik Herbrich,CB,26,-,TuS Bersenbrück,2014
Joscha Behrens,CB,25,-,TuS Bersenbrück,2014
Igor Balov,CDM,26,-,TuS Bersenbrück,2014
Erntouan Retzep,CDM,31,-,TuS Bersenbrück,2014
Marvin Klein,RW,22,-,TuS Bersenbrück,2014
Waldemar Sawitzki,ST,24,-,TuS Bersenbrück,2014
Max Tolischus,ST,23,-,TuS Bersenbrück,2014
Adrian Ellermann,ST,27,-,TuS Bersenbrück,2014
Christoph Bollmann,GK,24,-,TuS Bersenbrück,2015
Pouya Amiri,GK,23,-,TuS Bersenbrück,2015
Arne Torliene,GK,19,-,TuS Bersenbrück,2015
Daniel Heimann,CB,26,-,TuS Bersenbrück,2015
Dato Romanovi,CB,30,-,TuS Bersenbrück,2015
Mark Flottemesch,CB,25,-,TuS Bersenbrück,2015
Frank Placke,CB,24,-,TuS Bersenbrück,2015
Joscha Behrens,CB,26,-,TuS Bersenbrück,2015
Hendrik Herbrich,CB,27,-,TuS Bersenbrück,2015
Julian Schimpf,CB,29,-,TuS Bersenbrück,2015
Marco Heskamp,RB,24,-,TuS Bersenbrück,2015
David Leinweber,RB,20,-,TuS Bersenbrück,2015
Marc Filip,RB,25,-,TuS Bersenbrück,2015
Sandro Heskamp,CDM,22,-,TuS Bersenbrück,2015
Henrik Alswede,Midfielder,-,-,TuS Bersenbrück,2015
Arne Alswede,Midfielder,-,-,TuS Bersenbrück,2015
Julian Knop,Midfielder,-,-,TuS Bersenbrück,2015
Otto Fehl,Midfielder,24,-,TuS Bersenbrück,2015
Christoph von der Haar,Midfielder,-,-,TuS Bersenbrück,2015
Daniel Knuth,Midfielder,24,-,TuS Bersenbrück,2015
Nico Schwegmann,Midfielder,27,-,TuS Bersenbrück,2015
Alexander Schwarz,Midfielder,-,-,TuS Bersenbrück,2015
Erntouan Retzep,CDM,32,-,TuS Bersenbrück,2015
Burhan Akbulut,Midfielder,20,-,TuS Bersenbrück,2015
Gerrit Menkhaus,CDM,22,-,TuS Bersenbrück,2015
Igor Balov,CDM,27,-,TuS Bersenbrück,2015
Henning Grieneisen,LM,31,-,TuS Bersenbrück,2015
Emil Jula,ST,36,-,TuS Bersenbrück,2015
Andrej Homer,ST,23,-,TuS Bersenbrück,2015
Max Tolischus,ST,24,-,TuS Bersenbrück,2015
Adrian Ellermann,ST,28,-,TuS Bersenbrück,2015
Julius Liegmann,ST,-,-,TuS Bersenbrück,2015
Philipp Seggelmann,ST,29,-,TuS Bersenbrück,2015
Alexander Heile,GK,26,-,TuS Bersenbrück,2016
Christoph Gorselitz,GK,-,-,TuS Bersenbrück,2016
Christoph Bollmann,GK,25,-,TuS Bersenbrück,2016
Niclas Stahl,GK,21,-,TuS Bersenbrück,2016
Frank Placke,CB,25,-,TuS Bersenbrück,2016
Niclas Zurhorst,CB,19,-,TuS Bersenbrück,2016
Joscha Behrens,CB,27,-,TuS Bersenbrück,2016
Matthias Schmidt,CB,-,-,TuS Bersenbrück,2016
Dato Romanovi,CB,31,-,TuS Bersenbrück,2016
Mark Flottemesch,CB,26,-,TuS Bersenbrück,2016
Julian Schimpf,CB,30,-,TuS Bersenbrück,2016
David Leinweber,RB,21,-,TuS Bersenbrück,2016
Marc Filip,RB,26,-,TuS Bersenbrück,2016
