name,position,age,value,team,season
Zeynel Anil,GK,30,-,Türkgücü München,2014
Muhammet Balci,GK,24,-,Türkgücü München,2014
Murat Bas,GK,29,-,Türkgücü München,2014
Osman Çakır,CB,32,-,Türkgücü München,2014
Erhan Kilic,CB,23,-,Türkgücü München,2014
Simon Modjtabai,CB,26,-,Türkgücü München,2014
Umut Mutlu,CB,26,-,Türkgücü München,2014
Gökhan Üstün,CB,29,-,Türkgücü München,2014
Iskender Kacar,CB,29,-,Türkgücü München,2014
Kazim Anuk,CB,27,-,Türkgücü München,2014
Özgür Sütlü,CB,22,-,Türkgücü München,2014
Ercan Eraydin,CB,25,-,Türkgücü München,2014
Mustafa Al-Nisani,LB,22,-,Türkgücü München,2014
Deniz Ömer Sari,RB,29,-,Türkgücü München,2014
Burak Özcelik,Midfielder,26,-,Türkgücü München,2014
Taner Yürükgeldi,Midfielder,24,-,Türkgücü München,2014
Yakup Dora,Midfielder,23,-,Türkgücü München,2014
Mevlüt Cam,Midfielder,24,-,Türkgücü München,2014
Ferdi Bolat,Midfielder,23,-,Türkgücü München,2014
Alper Kayabunar,Midfielder,29,-,Türkgücü München,2014
Ömer Kanca,CM,25,50 Tsd. €,Türkgücü München,2014
Dragan Wagner,CM,20,-,Türkgücü München,2014
Fahrettin Caner Izci,CAM,24,-,Türkgücü München,2014
Abdelaziz Abdane,LW,19,-,Türkgücü München,2014
Victor Carr,ST,27,-,Türkgücü München,2014
Sinan Neumaier-Süngüoglu,ST,25,-,Türkgücü München,2014
Stylianos Karipidis,ST,28,-,Türkgücü München,2014
Ali Basanci,ST,25,-,Türkgücü München,2014
Max Never,ST,25,-,Türkgücü München,2014
Özer Aktas,ST,33,-,Türkgücü München,2014
Selim Yilmaz,ST,-,-,Türkgücü München,2014
Nazim Kücükkaya,GK,29,-,Türkgücü München,2015
Tufan Topal,GK,19,-,Türkgücü München,2015
Aykut Üzgenc,GK,23,-,Türkgücü München,2015
Ilyaz Genar,GK,18,-,Türkgücü München,2015
Osman Çakır,CB,33,-,Türkgücü München,2015
Ibrahim Cakir,CB,19,-,Türkgücü München,2015
Taophik Medjessiribi,CB,22,-,Türkgücü München,2015
Kubilay Etcil,CB,22,-,Türkgücü München,2015
Mert Gündüzalp,CB,19,-,Türkgücü München,2015
Erhan Kilic,CB,24,-,Türkgücü München,2015
Simon Modjtabai,CB,27,-,Türkgücü München,2015
Umut Mutlu,CB,27,-,Türkgücü München,2015
Gökhan Üstün,CB,30,-,Türkgücü München,2015
Kazim Anuk,CB,28,-,Türkgücü München,2015
Ercan Eraydin,CB,26,-,Türkgücü München,2015
Ibrahima Samb,CB,27,-,Türkgücü München,2015
Mustafa Al-Nisani,LB,23,-,Türkgücü München,2015
Yusuf Catal,Midfielder,20,-,Türkgücü München,2015
Onur Yilmaz,Midfielder,26,-,Türkgücü München,2015
Mevlüt Cam,Midfielder,25,-,Türkgücü München,2015
Hakan Gündüz,Midfielder,21,-,Türkgücü München,2015
Musa Mert Kapar,Midfielder,21,-,Türkgücü München,2015
Oguz Kilic,Midfielder,22,-,Türkgücü München,2015
Ferhat Mavi,Midfielder,22,-,Türkgücü München,2015
Kevin Meindl,Midfielder,21,-,Türkgücü München,2015
Matthäus Mema,Midfielder,21,-,Türkgücü München,2015
Alper Kayabunar,Midfielder,30,-,Türkgücü München,2015
Volkan Cukur,CM,31,-,Türkgücü München,2015
Viktor Bopp,CM,26,-,Türkgücü München,2015
Abdullah Aynaci,LW,19,-,Türkgücü München,2015
Cengiz Ötkün,LW,24,-,Türkgücü München,2015
Victor Carr,ST,28,-,Türkgücü München,2015
Sinan Neumaier-Süngüoglu,ST,26,-,Türkgücü München,2015
Luca Franchini,ST,27,-,Türkgücü München,2015
Burkibar Cissé,ST,22,-,Türkgücü München,2015
Önder Ötkün,ST,19,-,Türkgücü München,2015
Emin Aynaci,ST,19,-,Türkgücü München,2015
